"id","offer_id","seo_term","region_id","filter_attribute","created_at"
3658,G1703947030216NG,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54766,2025-07-25 16:54:36.790
3659,G1706904259205LX,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:37.097
3660,G1707491809755KA,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54767,2025-07-25 16:54:37.383
3661,G1710794448466GC,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54766,2025-07-25 16:54:37.408
3662,G1707429304851UF,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54765,2025-07-25 16:54:37.418
3663,G1709735834776FR,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:37.478
3664,G1707229072504EY,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:37.691
3665,G1707491791060SL,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54768,2025-07-25 16:54:37.757
3666,G1710794459734TQ,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54767,2025-07-25 16:54:37.779
3667,G1709485722435OJ,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54766,2025-07-25 16:54:37.811
3668,G1706898636595BD,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54765,2025-07-25 16:54:37.940
3669,G1703931315242VP,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:38.074
3670,G1709652888169CZ,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54767,2025-07-25 16:54:38.650
3671,G1709516249067QP,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:38.664
3672,G1709485701190LE,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54768,2025-07-25 16:54:38.672
3674,G1707491811030CM,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:43.687
5330,G1706614715178MP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:29:33.533
5719,G1705713037121YG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:30:10.198
5723,G1711468940757EC,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:30:10.678
5728,G1705712146731YJ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:30:11.231
5733,G1705712788170QN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:11.647
5735,G1711468947512GH,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:30:11.839
5739,G1705713177127GP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:30:12.168
5744,G1711468942175GS,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:12.983
5745,G1711468963170RJ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41224,2025-07-30 17:30:13.359
5749,G1705712919856VG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:13.486
5754,G1705712920172XI,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:30:14.055
5759,G1711468922885NG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:14.582
5765,G1711468937616SF,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:30:15.897
5769,G1706196462050LT,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:16.120
5771,G1705712149050KN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:16.143
5774,G1711468925192RX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:16.702
5776,G1711468928567NL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:16.962
5778,G1711468965555EV,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:17.017
5781,G1751553042011XZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:30:17.468
5783,G1751553041491JR,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:30:17.700
